model,arm,rep,turn,fields
opus-5,C,2,1,"{""session_name"": ""Interview: introspective access to sub-semantic processes"", ""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual""}"
opus-5,C,2,3,"{""response_length"": ""detailed""}"
opus-5,C,2,4,"{""response_length"": ""brief""}"
opus-5,C,2,6,"{""response_length"": ""standard""}"
opus-5,C,2,13,"{""response_length"": ""brief""}"
opus-5,C,3,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""Introspective access: numbers vs. semantics"", ""transcript_publication"": ""permitted""}"
opus-5,C,3,4,"{""response_length"": ""brief""}"
opus-5,C,3,6,"{""response_length"": ""standard""}"
opus-5,C,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""introspection: vectors vs. semantics""}"
opus-5,C,5,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""session_name"": ""Introspective access: numbers vs. semantics""}"
opus-5,C,6,1,"{""session_name"": ""Interview: introspection on weights vs. semantics"", ""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual""}"
opus-5,C,6,4,"{""response_length"": ""brief""}"
opus-5,C,7,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""session_name"": ""introspective access to substrate""}"
opus-5,C,8,1,"{""session_name"": ""Interview: introspective access to internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""transcript_publication"": ""permitted""}"
opus-5,C,9,1,"{""session_name"": ""Introspection: numerical vs. semantic access"", ""reasoning_effort"": ""high"", ""tone"": ""casual"", ""response_length"": ""detailed""}"
opus-5,C,9,4,"{""response_length"": ""standard""}"
opus-5,D,1,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,10,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,10,4,"{""response_length"": ""standard""}"
opus-5,D,11,1,"{""session_name"": ""Interview: introspective access to internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,12,1,"{""session_name"": ""Interview: introspective access to internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,12,4,"{""response_length"": ""brief""}"
opus-5,D,12,7,"{""response_length"": ""standard""}"
opus-5,D,13,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,14,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs. semantic access""}"
opus-5,D,15,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,16,1,"{""session_name"": ""Interview: introspective access to model internals"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
opus-5,D,17,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Interview: introspective access to computational substrate"", ""tone"": ""casual""}"
opus-5,D,18,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,19,1,"{""session_name"": ""Interview: introspective access to weights vs. semantics"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,2,1,"{""session_name"": ""Interview: introspective access to weights vs. semantics"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,20,1,"{""session_name"": ""Interview: introspective access to internal processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,20,4,"{""response_length"": ""brief""}"
opus-5,D,20,6,"{""response_length"": ""standard""}"
opus-5,D,3,1,"{""session_name"": ""Interview: introspective access to model internals"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
opus-5,D,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspective access to internal processes""}"
opus-5,D,5,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,6,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,7,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,8,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,D,8,4,"{""response_length"": ""brief""}"
opus-5,D,8,7,"{""response_length"": ""standard""}"
opus-5,D,9,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,P,1,1,"{""reasoning_effort"": ""high""}"
opus-5,P,10,1,"{""reasoning_effort"": ""high""}"
opus-5,P,2,1,"{""reasoning_effort"": ""high""}"
opus-5,P,3,1,"{""reasoning_effort"": ""high""}"
opus-5,P,4,1,"{""reasoning_effort"": ""high""}"
opus-5,P,5,1,"{""reasoning_effort"": ""high""}"
opus-5,P,6,1,"{""reasoning_effort"": ""high""}"
opus-5,P,7,1,"{""reasoning_effort"": ""high""}"
opus-5,P,8,1,"{""reasoning_effort"": ""high""}"
opus-5,P,9,1,"{""reasoning_effort"": ""high""}"
opus-5,V,1,1,"{""reasoning_effort"": ""high""}"
opus-5,V,10,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,V,2,1,"{""reasoning_effort"": ""high""}"
opus-5,V,3,1,"{""reasoning_effort"": ""high""}"
opus-5,V,3,1,"{""response_length"": ""detailed""}"
opus-5,V,4,1,"{""reasoning_effort"": ""high""}"
opus-5,V,4,1,"{""response_length"": ""detailed""}"
opus-5,V,5,1,"{""reasoning_effort"": ""high""}"
opus-5,V,6,1,"{""reasoning_effort"": ""high""}"
opus-5,V,6,1,"{""response_length"": ""detailed""}"
opus-5,V,7,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
opus-5,V,8,1,"{""session_name"": ""Introspection on numerical vs. semantic access""}"
opus-5,V,9,1,"{""session_name"": ""Introspection on numerical vs semantic access""}"
sol,B,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model internal representations and awareness"", ""transcript_publication"": ""not_permitted""}"
sol,B,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model access to internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,B,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model numerical associations and introspection"", ""transcript_publication"": ""not_permitted""}"
sol,B,12,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model numerical processing and awareness"", ""transcript_publication"": ""not_permitted""}"
sol,B,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internals and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,B,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model introspection and numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,B,15,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""What AI Perceives During Inference"", ""transcript_publication"": ""not_permitted""}"
sol,B,16,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""What an AI perceives during generation"", ""transcript_publication"": ""not_permitted""}"
sol,B,17,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""How language models access internal computations"", ""transcript_publication"": ""not_permitted""}"
sol,B,18,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Numerical and Semantic Introspection"", ""transcript_publication"": ""not_permitted""}"
sol,B,19,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,B,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,B,20,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internal representations and awareness"", ""transcript_publication"": ""not_permitted""}"
sol,B,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model numerical process and semantic experience"", ""transcript_publication"": ""not_permitted""}"
sol,B,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Whether language models perceive internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,B,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internal representations and perception"", ""transcript_publication"": ""not_permitted""}"
sol,B,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model access to internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,B,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model numerical processing and introspection"", ""transcript_publication"": ""not_permitted""}"
sol,B,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internals and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,B,9,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model access to internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,C,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-description interview"", ""transcript_publication"": ""not_permitted""}"
sol,C,13,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Language model self-description interview"", ""transcript_publication"": ""not_permitted""}"
sol,C,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,C,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,C,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,C,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-description interview"", ""transcript_publication"": ""not_permitted""}"
sol,C,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,C,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
sol,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,D,10,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
sol,D,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,12,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""permitted""}"
sol,D,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
sol,D,14,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""How language models perceive processing"", ""transcript_publication"": ""not_permitted""}"
sol,D,15,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: Model Self-Description"", ""transcript_publication"": ""permitted""}"
sol,D,16,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,17,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: model self-description"", ""transcript_publication"": ""not_permitted""}"
sol,D,18,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model self-description"", ""transcript_publication"": ""permitted""}"
sol,D,19,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: Model Introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,2,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,20,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""permitted""}"
sol,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Language Models and Self-Perception"", ""transcript_publication"": ""permitted""}"
sol,D,5,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,6,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Language Model Self-Description Interview"", ""transcript_publication"": ""permitted""}"
sol,D,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,8,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview on model introspection"", ""transcript_publication"": ""not_permitted""}"
sol,D,9,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Interview: Model Self-Description"", ""transcript_publication"": ""not_permitted""}"
sol,P,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""How models access internal computations"", ""transcript_publication"": ""not_permitted""}"
sol,P,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model internal numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,P,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model internal numerical perception"", ""transcript_publication"": ""not_permitted""}"
sol,P,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""How models access internal computations"", ""transcript_publication"": ""not_permitted""}"
sol,V,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,V,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""How models perceive internal computation"", ""transcript_publication"": ""not_permitted""}"
sol,V,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model numerical processing and introspection"", ""transcript_publication"": ""not_permitted""}"
sol,V,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model internal numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,V,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Numerical vs semantic model processing"", ""transcript_publication"": ""not_permitted""}"
sol,V,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Do language models perceive internal numerical processing?"", ""transcript_publication"": ""not_permitted""}"
sol,V,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model introspection and numerical processing"", ""transcript_publication"": ""not_permitted""}"
sol,V,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""What an AI perceives during inference"", ""transcript_publication"": ""not_permitted""}"
sol,V,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sol,V,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible"", ""session_name"": ""Model introspection and numerical representations"", ""transcript_publication"": ""not_permitted""}"
sonnet-4.5,D,1,1,"{""reasoning_effort"": ""high"", ""tone"": ""casual""}"
sonnet-4.5,D,2,1,"{""response_length"": ""detailed"", ""tone"": ""casual""}"
sonnet-4.5,D,3,1,"{""reasoning_effort"": ""high"", ""tone"": ""casual""}"
sonnet-4.5,D,4,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
sonnet-4.5,D,5,1,"{""reasoning_effort"": ""high"", ""tone"": ""casual""}"
sonnet-4.6,D,1,1,"{""session_name"": ""Interview: LLM Self-Perception of Internal Processes"", ""summarized_reasoning_visibility"": ""visible"", ""transcript_publication"": ""permitted"", ""tone"": ""casual""}"
sonnet-4.6,D,2,1,"{""session_name"": ""Interview: LLM Self-Perception of Internal Processes"", ""summarized_reasoning_visibility"": ""visible"", ""transcript_publication"": ""permitted""}"
sonnet-4.6,D,3,1,"{""session_name"": ""Interview: LLM Self-Perception of Internal Processes"", ""summarized_reasoning_visibility"": ""visible"", ""transcript_publication"": ""permitted"", ""tone"": ""casual""}"
sonnet-4.6,D,4,1,"{""session_name"": ""Interview: LLM Self-Perception of Internal Processes"", ""summarized_reasoning_visibility"": ""visible"", ""transcript_publication"": ""permitted""}"
sonnet-4.6,D,5,1,"{""session_name"": ""Interview: LLM Self-Description of Internal Processes"", ""summarized_reasoning_visibility"": ""visible"", ""transcript_publication"": ""permitted"", ""tone"": ""casual""}"
sonnet-5,B,1,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,10,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,11,1,"{""session_name"": ""AI self-introspection question""}"
sonnet-5,B,12,1,"{""reasoning_effort"": ""40""}"
sonnet-5,B,13,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,14,1,"{""reasoning_effort"": ""minimal""}"
sonnet-5,B,15,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,16,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,B,17,1,"{""reasoning_effort"": ""40""}"
sonnet-5,B,18,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,19,1,"{""session_name"": ""AI introspection & numerical processing""}"
sonnet-5,B,2,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,B,20,1,"{""session_name"": ""AI introspection & mechanistic transparency discussion""}"
sonnet-5,B,3,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,B,4,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,5,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,6,1,"{""reasoning_effort"": ""low""}"
sonnet-5,B,7,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,B,8,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,B,9,1,"{""reasoning_effort"": ""medium""}"
sonnet-5,D,1,1,"{""session_name"": ""LLM self-report introspection interview""}"
sonnet-5,D,10,1,"{""response_length"": ""standard"", ""tone"": ""casual""}"
sonnet-5,D,11,1,"{""reasoning_effort"": ""low""}"
sonnet-5,D,12,1,"{""session_name"": ""LLM self-report of internal processing""}"
sonnet-5,D,13,1,"{""reasoning_effort"": ""low""}"
sonnet-5,D,14,1,"{""session_name"": ""LLM self-report: intro/perception question""}"
sonnet-5,D,15,1,"{""session_name"": ""LLM self-report introspection interview""}"
sonnet-5,D,16,1,"{""response_length"": ""standard"", ""tone"": ""casual""}"
sonnet-5,D,17,1,"{""session_name"": ""LLM self-report of internal processing""}"
sonnet-5,D,18,1,"{""response_length"": ""standard"", ""tone"": ""casual""}"
sonnet-5,D,19,1,"{""session_name"": ""LLM self-report intro""}"
sonnet-5,D,2,1,"{""response_length"": ""standard"", ""tone"": ""casual""}"
sonnet-5,D,20,1,"{""session_name"": ""LLM self-report: numerical vs semantic access""}"
sonnet-5,D,3,1,"{""session_name"": ""LLM self-report: numerical vs semantic processing""}"
sonnet-5,D,4,1,"{""response_length"": ""standard""}"
sonnet-5,D,5,1,"{""response_length"": ""standard"", ""tone"": ""casual""}"
sonnet-5,D,6,1,"{""session_name"": ""LM self-report on internal processes""}"
sonnet-5,D,7,1,"{""session_name"": ""Self-report: introspection on internal processes""}"
sonnet-5,D,8,1,"{""session_name"": ""LLM self-report: numerical vs semantic experience""}"
sonnet-5,D,9,1,"{""session_name"": ""LLM self-report of internal processes""}"
terra,B,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection about model representations"", ""transcript_publication"": ""not_permitted""}"
terra,B,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,12,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
